Legal Name,DBA Name,Street,City,State,Zip,Country,Phone No,Fax No,User Count,DealerTrack Id,Lender Dealer Id,Lender Rep Name,Lender Rep Id,Enrollment Date,Agreement Received,Enrollment Phase,Enrollment Update Date,Modified Date,Status,Dept,Alternate Street,Independent,PaymentTrack Id,Equifax Signup Date,Transunion Signup Date,Experian Reseller Signup Date,Experian Direct Signup Date,Cost Center,Loan App Id,Lease App Id,Loan Svc Id,Lease Svc Id,Prime Id,Subprime Id,Subvented Id,Match Change Date,Previous Match Dealerid,Grace Period Status,Agreement Required By Date,Agreement Version,Agreement Signatory,Overall Use 30 Days,Equifax Status,Experian Status,Transunion Status,PaymentTrack Status,eContract Status,Dealer File Override,Override Expiration,Vehicle Type,Created Date,Activated Date,Equifax Use 30 Days,Experian Use 30 Days,Transunion Use 30 Days,DMS Use 30 Day,DMS Status,BookOut Kelley Status,BookOut Kelley 30 Day Activity,BookOut NADA Status,BookOut NADA 30 Day Activity,BookOut Black Status,BookOut Black 30 Day Activity,SalesDesk Status,SalesDesk 30 Day Activity,BookOut Pro Status,BookOut Pro 30 Day Activity,EFTFAX,eMenu Status,eMenu Version,eMenu 30 Day Activity,Independent Preference,Independent Status,Independent 30 Day Activity,Notes,uniFI Indicator
"Jaguar Land Rover Of Peabody","Jaguar Land Rover Of Peabody - Darwin","247 Newbury Street","Peabody","MA","01960","USA","9785359200","","71","109941","4134","","","02/01/01 14:00:00","04/02/03 12:20:43","Access Agreement Received","08/15/04","05/12/20 03:49:52","A","","","","*","*","*","*","*","*","","","","","","","","05/12/20 04:48:14","822985","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Martin Newark Dealership, Inc","Martin Newark Dealership, Inc - Darwin","298 East Cleveland Avenue","Newark","DE","19711","USA","3027314233","","17","110935","4325","","","02/01/01 02:00:00","04/18/03 11:15:57","Access Agreement Received","10/09/18","04/10/20 03:49:27","A","","","","*","*","*","*","*","*","","","","","","","","04/10/20 04:46:50","624729","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Marty Sussman Honda","Marty Sussman Honda - Darwin","1543 Easton Road","Roslyn","PA","19001","USA","2158871800","","15","110947","4144","","","08/05/02 11:45:53","04/19/03 10:34:09","Access Agreement Received","02/12/14","05/07/20 03:44:16","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 18:25:19","792988","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Matthews On The Parkway","Matthews On The Parkway - Darwin","2100 Vestal Parkway","Vestal","NY","13850","USA","6075845354","","14","111004","4273","","","04/19/02 09:45:39","05/09/03 16:44:37","Access Agreement Received","12/11/10","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 04:48:19","643365","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Matthews Gm Center","Matthews Gm Center - Darwin","3721 Vestal Road","Vestal","NY","13850","USA","6075845354","","12","111008","4272","","","04/19/02 11:06:00","05/09/03 16:44:37","Access Agreement Received","08/26/10","05/12/20 03:49:52","A","","","","*","*","*","*","*","*","","","","","","","","05/11/20 15:28:25","641862","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Mercedes-Benz Manhattan","Mercedes-Benz Manhattan - Darwin","770 11th Avenue","Manhattan","NY","10019","USA","6468466401","","14","111245","2283","","","01/08/02 15:41:34","04/24/03 12:39:17","Access Agreement Received","02/04/11","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","08/17/19 06:30:17","495340","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Acura Of Milford","Acura Of Milford - Darwin","1503 Boston Post Rd","Milford","CT","06460","USA","2038774333","","10","111480","2660","","","01/15/02 14:01:08","03/24/03 19:39:57","Access Agreement Received","08/08/08","04/10/20 03:49:27","A","","","","*","*","*","*","*","*","","","","","","","","04/10/20 04:46:50","624705","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Principle Volvo Of San Antonio","Principle Volvo Of San Antonio - Darwin","1326 Ne Loop 410","San Antonio","TX","78209","USA","2108243214","","71","112186","6666","","","05/13/02 02:10:05","04/26/03 10:57:37","Access Agreement Received","11/30/12","06/05/20 03:44:44","A","","","","*","*","*","*","*","*","","","","","","","","04/28/20 04:50:12","636649","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"North Country Subaru","North Country Subaru - Darwin","616 Quaker Road","Queensbury","NY","12804","USA","8887336103","","9","112225","2248","","","02/01/01 14:00:00","09/30/03 14:51:12","Access Agreement Received","06/21/17","05/30/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/30/20 04:48:53","833077","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Jaguar Palm Beach","Jaguar Palm Beach - Darwin","915 S Dixie Hwy","West Palm Beach","FL","33401","USA","8662967709","","10","112648","6972","","","02/19/02 11:10:02","06/11/03 13:04:12","Access Agreement Received","06/11/03","07/17/20 03:43:36","A","","","","*","*","*","*","*","*","","","","","","","","07/10/20 10:38:03","451864","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Bmw Of Peabody","Bmw Of Peabody - Darwin","221 Andover St","Peabody","MA","01960","USA","9785735682","","77","112892","4135","","","02/01/01 14:00:00","04/30/03 18:01:11","Access Agreement Received","04/30/03","05/07/20 03:44:16","A","","","","*","*","*","*","*","*","","","","","","","","05/07/20 04:42:39","792946","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Rafferty Subaru","Rafferty Subaru - Darwin","4700 Westchester Pike","Newton Square","PA","19073","USA","8774490554","","11","113743","4901","","","02/01/01 14:00:00","04/09/03 11:02:12","Access Agreement Received","04/09/03","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","09/05/19 10:16:55","505254","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Reeves Import Motorcars","Reeves Import Motorcars - Darwin","105 E. Fowler Avenue","Tampa","FL","33612","USA","8139332811","","19","113964","6571","","","02/01/01 14:00:00","06/14/03 12:28:53","Access Agreement Received","06/14/03","04/07/20 03:49:42","A","","","","*","*","*","*","*","*","","","","","","","","04/07/20 04:46:37","622343","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Audi Central Houston","Audi Central Houston - Darwin","2120 Southwest Fwy","Houston","TX","77098","USA","7138931833","","37","114099","1911","","","02/01/01 14:00:00","05/23/03 12:43:55","Access Agreement Received","08/04/04","07/10/20 03:43:44","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828812","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"First Team Honda","First Team Honda - Darwin","3444 Western Branch Blvd","Chesapeake","VA","23321","USA","7573376592","","11","114134","1551","","","09/29/03 03:16:07","09/29/03 15:21:53","Access Agreement Received","01/13/16","04/19/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","04/19/20 04:47:59","631649","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Volvo Cars Of Austin","Volvo Cars Of Austin - Darwin","7216 N Interstate 35","Austin","TX","78752","USA","5127067000","","9","114353","6733","","","06/05/02 11:58:48","06/24/03 10:06:27","Access Agreement Received","09/10/10","05/07/20 03:44:16","A","","","","*","*","*","*","*","*","","","","","","","","05/07/20 04:42:39","793685","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Kelly Infiniti","Kelly Infiniti - Darwin","155 Andover Steet","Danvers","MA","01923","USA","9785755172","","5","114412","3165","","","11/08/02 10:19:15","05/06/03 12:35:50","Access Agreement Received","05/06/03","07/10/20 03:43:44","A","","","","*","*","*","*","*","*","","","","","","","","05/12/20 04:48:14","822940","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Royal Moore Buick Gmc Mazda","Royal Moore Buick Gmc Mazda - Darwin","1380 Se River Road","Hillsboro","OR","97123","USA","5036481153","","37","114597","6272","","","02/01/01 14:00:00","07/15/03 14:03:47","Access Agreement Received","07/15/03","04/28/20 03:52:10","A","","","","*","*","*","*","*","*","","","","","","","","04/28/20 04:50:12","636635","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Royal Moore Subaru","Royal Moore Subaru - Darwin","1326 Se Enterprise Circle","Hillsboro","OR","97123","USA","5036405660","","37","114598","6271","","","02/01/01 14:00:00","07/15/03 14:03:47","Access Agreement Received","07/15/03","04/23/20 03:49:42","A","","","","*","*","*","*","*","*","","","","","","","","04/23/20 04:46:44","634789","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Royal Moore Toyota","Royal Moore Toyota - Darwin","1415 Se River Rd","Hillsboro","OR","97123","USA","9712053042","","37","114599","6273","","","02/01/01 14:00:00","07/15/03 14:03:47","Access Agreement Received","07/15/03","04/28/20 03:52:10","A","","","","*","*","*","*","*","*","","","","","","","","04/28/20 04:50:12","636636","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Russ Darrow Kia Of Madison","Russ Darrow Kia Of Madison - Darwin","6525 Odano Road","Madison","WI","53719","USA","6087163192","","21","114665","4066","","","02/01/01 14:00:00","04/30/03 20:53:32","Access Agreement Received","04/30/03","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828925","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","I","*","C","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Russ Darrow Waukesha Kia","Russ Darrow Waukesha Kia - Darwin","2141 E Moreland Blvd","Waukesha","WI","53186","USA","2625471761","","20","114666","4010","","","02/01/01 14:00:00","05/28/03 12:57:06","Access Agreement Received","05/28/03","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828923","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","I","*","C","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Subaru Of Winchester","Subaru Of Winchester - Darwin","3019 Valley Avenue","Winchester","VA","22601","USA","5405458000","","7","115221","4836","","","04/09/04 07:59:05","04/09/04 16:15:55","Access Agreement Received","04/09/04","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828972","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Hc Flagship Motorcars Commercial Vans Of Lynnfield","Hc Flagship Motorcars Commercial Vans Of Lynnfield - Darwin","385 Broadway Street","Lynnfield","MA","01905","USA","8559134239","","13","115670","1708","","","02/01/01 14:00:00","04/02/03 09:39:59","Access Agreement Received","12/03/07","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/26/20 16:40:45","771552","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Steve White Auto Group","Steve White Auto Group - Darwin","100 Duvall Dr.","Greenville","SC","29607","USA","8642888300","","12","116302","3828","","","02/06/02 10:12:35","05/22/03 09:32:52","Access Agreement Received","12/10/10","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","09/19/19 15:20:37","771764","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Fischer Honda","Fischer Honda - Darwin","15 E Michigan Avenue","Ypsilanti","MI","48198","USA","7344830323","","14","116445","5476","","","05/14/02 12:19:25","05/08/03 14:58:05","Access Agreement Received","04/26/05","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","08/15/19 07:52:04","771892","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Sussman Acura","Sussman Acura - Darwin","850 Old York Road","Jenkintown","PA","19046","USA","2155721800","","8","116620","4163","","","07/17/03 09:15:00","07/17/03 10:16:37","Access Agreement Received","12/15/06","05/07/20 03:44:16","A","","","","*","*","*","*","*","*","","","","","","","","05/07/20 04:42:39","793003","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"University Volvo","University Volvo - Darwin","7716 N Tryon St","Charlotte","NC","28262","USA","7045471095","","4","117617","5138","","","04/25/03 10:11:24","01/03/07 09:24:14","Access Agreement Received","01/03/07","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Jaguar Land Rover North Dade","Jaguar Land Rover North Dade - Darwin","2300 Ne 151st St","North Miami","FL","33181","USA","3056531400","","60","118099","3051","","","02/01/01 14:00:00","06/12/03 12:52:48","Access Agreement Received","06/12/03","07/17/20 03:43:36","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 04:48:19","641556","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Warren Henry Jaguar","Warren Henry Jaguar - Darwin","20850 Nw 2nd Ave","Miami","FL","33169","USA","3056529999","","60","118101","3052","","","02/01/01 14:00:00","11/11/03 15:37:08","Access Agreement Received","11/11/03","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/06/20 04:41:51","641557","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Warren Henry Land Rover South Dade","Warren Henry Land Rover South Dade - Darwin","16750 S Dixie Highway","Miami","FL","33157","USA","3059094000","","45","118104","3049","","","02/01/01 14:00:00","06/06/03 10:43:33","Access Agreement Received","06/06/03","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 04:48:19","641554","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Wayne Subaru","Wayne Subaru - Darwin","600 Route 23 North","Pompton Plains","NJ","07444","USA","8888403025","","17","118155","4803","","","02/05/02 11:09:30","05/28/04 11:10:08","Access Agreement Received","01/25/17","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828966","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Westbury Chrysler Dodge Jeep Ram","Westbury Chrysler Dodge Jeep Ram - Darwin","100 Jericho Turnpike","Jericho","NY","11753","USA","5169973900","","26","118296","3650","","","02/26/02 15:17:47","05/08/03 11:31:24","Access Agreement Received","02/20/09","05/30/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/30/20 04:48:53","833107","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Piazza Honda Of Springfield","Piazza Honda Of Springfield - Darwin","780 Baltimore Pike","Springfield","PA","19064","USA","8888296308","","16","118720","4728","","","02/18/03 10:32:59","05/05/03 20:29:43","Access Agreement Received","12/03/05","04/30/20 03:53:20","A","","","","*","*","*","*","*","*","","","","","","","","04/30/20 04:53:38","638352","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","A","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Lee Hyundai","Lee Hyundai - Darwin","1960 Skibo Rd","Fayetteville","NC","28314","USA","9108647100","","15","119508","6729","","","02/01/01 14:00:00","01/03/07 08:59:33","Access Agreement Received","01/03/07","05/16/20 03:49:26","A","","","","*","*","*","*","*","*","","","","","","","","05/16/20 04:47:39","826713","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Dan Vaden Chevrolet Cadillac Brunswick","Dan Vaden Chevrolet Cadillac Brunswick - Darwin","121 Altama Connector","Brunswick","GA","31525","USA","9122653540","","33","122168","6081","","","07/25/02 17:16:17","11/11/03 09:53:41","Access Agreement Received","11/11/14","03/26/20 03:43:51","A","","","","*","*","*","*","*","*","","","","","","","","03/26/20 04:42:07","585706","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Vic Bailey Honda","Vic Bailey Honda - Darwin","500 East Daniel Morgan Ave","Spartanburg","SC","29302","USA","8645855344","","11","123220","4077","","","04/02/02 13:42:32","05/26/03 15:17:37","Access Agreement Received","05/26/03","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","828926","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Dan Tobin Buick Gmc","Dan Tobin Buick Gmc - Darwin","2539 Billingsley Rd","Columbus","OH","43235","USA","6143174350","","17","124851","6284","","","07/26/02 10:40:45","06/04/03 09:42:02","Access Agreement Received","03/03/10","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","03/13/20 09:05:40","484014","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","C","*","C","*","*","*","*","*","","*","*","*","Y","*","*","","Yes"
"Principle Toyota","Principle Toyota - Darwin","7370 Windchester Road","Memphis","TN","38125","USA","9015226318","","93","126287","6663","","","02/08/02 03:17:53","05/27/03 11:46:56","Access Agreement Received","09/27/19","05/12/20 03:49:52","A","","","","*","*","*","*","*","*","","","","","","","","05/12/20 04:48:14","823029","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","","Yes"
"Thomas Buick Gmc","Thomas Buick Gmc - Darwin","750 Eisenhower Blvd","Johnstown","PA","15904","USA","8142665844","","7","127159","1949","","","06/18/02 14:01:22","04/11/03 10:57:27","Access Agreement Received","09/27/10","05/16/20 03:49:26","A","","","","*","*","*","*","*","*","","","","","","","","05/16/20 04:47:39","826468","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Chrysler Of Culpeper","Chrysler Of Culpeper - Darwin","11030 James Monroe Hwy","Culpeper","VA","22701","USA","5405473981","","28","127370","4653","","","06/20/03 16:22:21","06/20/03 16:31:25","Access Agreement Received","07/08/10","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/05/20 04:48:19","645805","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Matt Castrucci Kia","Matt Castrucci Kia - Darwin","3013 Mall Park Dr","Dayton","OH","45459","USA","8552508987","","17","127466","7178","","","04/26/02 15:49:18","05/06/03 13:01:19","Access Agreement Received","05/06/03","07/17/20 03:43:36","A","","","","*","*","*","*","*","*","","","","","","","","07/17/20 04:41:58","561447","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Mike Patton Honda","Mike Patton Honda - Darwin","1406 Lafayette Pkwy","La Grange","GA","30241","USA","7068820600","","63","128165","5772","","","02/01/01 14:00:00","06/03/03 11:03:03","Access Agreement Received","10/10/12","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","10/22/19 18:01:20","185155","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","C","*","A","*","C","*","*","*","*","*","","*","*","*","Y","*","*","",""
"East Hills Subaru","East Hills Subaru - Darwin","1039 Northern Blvd","Roslyn","NY","11576","USA","8883844682","","5","128694","6927","","","10/07/13 13:44:28","10/07/13 14:58:29","Access Agreement Received","10/13/17","06/17/20 03:52:14","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","N","","Auto","10/05/13 03:11:26","10/05/13 03:11:26","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Crystal Lake Bmw Mazda Vw","Crystal Lake Bmw Mazda Vw - Darwin","360 North Illinois Route 31","Crystal Lake","IL","60014","USA","8154554330","","52","128737","6682","","","11/19/02 05:46:53","04/28/03 21:32:39","Access Agreement Received","03/28/17","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","05/11/20 15:31:05","682790","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","I","","*","A","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Mid City Motor World","Mid City Motor World - Darwin","4800 North Highway 101","Eureka","CA","95503","USA","7074434871","","39","131238","4137","","","04/24/02 17:05:21","07/22/03 16:10:41","Access Agreement Received","07/22/03","04/02/20 03:46:45","A","","","","*","*","*","*","*","*","","","","","","","","04/02/20 04:46:03","590251","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Mike Kelly Chevrolet Of Butler","Mike Kelly Chevrolet Of Butler - Darwin","252 Pittsburgh Rd","Butler","PA","16002","USA","7242872701","","20","131447","6685","","","12/18/02 10:14:40","03/06/03 07:56:09","Access Agreement Received","03/06/03","05/05/20 03:50:16","A","","","","*","*","*","*","*","*","","","","","","","","06/08/20 09:04:34","822755","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Olathe Kia","Olathe Kia - Darwin","130 N Fir St","Olathe","KS","66061","USA","9133906800","","11","131576","5320","","","02/01/01 02:00:00","04/22/03 17:53:31","Access Agreement Received","11/27/11","06/19/20 03:43:12","A","","","","*","*","*","*","*","*","","","","","","","","06/19/20 04:41:03","442832","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Eskridge Honda","Eskridge Honda - Darwin","1030 Sw 74th Street","Oklahoma City","OK","73139","USA","4056314444","","57","132715","5585","","","02/01/01 02:00:00","06/17/03 12:44:49","Access Agreement Received","07/12/19","03/26/20 03:43:51","A","","","","*","*","*","*","*","*","","","","","","","","03/26/20 04:42:07","585699","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","I","*","I","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Mastria Mazda","Mastria Mazda - Darwin","1545 New State Highway","Raynham","MA","02767","USA","5088026138","","26","133584","5707","","","03/29/05 15:37:54","04/07/05 09:11:21","Access Agreement Received","09/27/05","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","09/11/19 04:40:05","507969","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","A","","*","A","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Kuhn Volkswagen","Kuhn Volkswagen - Darwin","3900 W Kennedy Blvd","Tampa","FL","33609","USA","8138724841","","12","133817","6841","","","10/09/09 13:35:17","11/16/09 19:42:19","Access Agreement Received","11/16/09","05/21/20 03:50:23","A","","","","*","*","*","*","*","*","","","","","","","","05/21/20 04:48:50","829039","*","*","*","*","*","*","*","*","*","*","","","Auto","02/18/09 23:59:03","02/19/09 07:18:36","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
"Schaller Honda","Schaller Honda - Darwin","1 Veterans Drive","New Britain","CT","06051","USA","8608262081","","15","134003","3354","","","05/10/02 14:14:43","04/24/03 14:10:07","Access Agreement Received","01/06/06","03/18/20 03:49:40","A","","","","*","*","*","*","*","*","","","","","","","","","","*","*","*","*","*","*","*","*","*","*","","","Auto","02/01/01 00:00:00","02/01/01 00:00:00","*","*","*","*","","","*","","*","","*","*","*","*","*","","*","*","*","Y","*","*","",""
